cmd=limits lib=tbb power=26
threads,sys,user,elapsed
1,0.000,1.880,1.880
2,0.003,1.993,1.000
3,0.000,2.047,0.687
4,0.000,2.107,0.540
5,0.000,2.100,0.530
6,0.017,2.097,0.530
7,0.017,2.087,0.530
8,0.023,2.097,0.537
