draw,serial,26,1,0.26,4.56,4.83
draw,serial,26,1,0.29,4.43,4.73
draw,serial,26,1,0.28,4.44,4.72
limits,serial,26,1,0.00,1.87,1.87
limits,serial,26,1,0.00,1.88,1.88
limits,serial,26,1,0.00,1.87,1.88
draw,pthread,26,1,0.28,4.57,4.87
draw,pthread,26,1,0.31,4.56,4.88
draw,pthread,26,1,0.29,4.50,4.80
draw,pthread,26,2,0.35,4.74,2.59
draw,pthread,26,2,0.28,4.79,2.58
draw,pthread,26,2,0.32,4.77,2.59
draw,pthread,26,3,0.27,4.93,1.84
draw,pthread,26,3,0.33,4.87,1.87
draw,pthread,26,3,0.29,4.93,1.86
draw,pthread,26,4,0.31,4.98,1.55
draw,pthread,26,4,0.36,4.94,1.57
draw,pthread,26,4,0.41,4.91,1.61
draw,pthread,26,5,0.29,4.97,1.73
draw,pthread,26,5,0.27,5.00,1.71
draw,pthread,26,5,0.35,4.92,1.72
draw,pthread,26,6,0.37,4.94,1.57
draw,pthread,26,6,0.34,4.97,1.58
draw,pthread,26,6,0.35,4.95,1.61
draw,pthread,26,7,0.32,4.97,1.59
draw,pthread,26,7,0.32,4.98,1.61
draw,pthread,26,7,0.33,4.97,1.64
draw,pthread,26,8,0.35,4.98,1.58
draw,pthread,26,8,0.39,4.94,1.58
draw,pthread,26,8,0.35,4.96,1.61
draw,tbb,26,1,0.29,4.44,4.73
draw,tbb,26,1,0.29,4.55,4.84
draw,tbb,26,1,0.24,4.47,4.72
draw,tbb,26,2,0.28,4.76,2.54
draw,tbb,26,2,0.32,4.71,2.54
draw,tbb,26,2,0.31,4.72,2.54
draw,tbb,26,3,0.28,4.93,1.77
draw,tbb,26,3,0.32,4.91,1.78
draw,tbb,26,3,0.25,4.95,1.77
draw,tbb,26,4,0.37,5.00,1.39
draw,tbb,26,4,0.35,5.02,1.41
draw,tbb,26,4,0.34,5.00,1.38
draw,tbb,26,5,0.31,5.05,1.39
draw,tbb,26,5,0.37,5.02,1.39
draw,tbb,26,5,0.33,5.03,1.41
draw,tbb,26,6,0.42,4.97,1.39
draw,tbb,26,6,0.34,5.05,1.39
draw,tbb,26,6,0.35,5.07,1.42
draw,tbb,26,7,0.35,5.04,1.39
draw,tbb,26,7,0.35,5.10,1.40
draw,tbb,26,7,0.28,5.15,1.40
draw,tbb,26,8,0.38,5.06,1.43
draw,tbb,26,8,0.27,5.16,1.40
draw,tbb,26,8,0.33,5.09,1.40
limits,pthread,26,1,0.00,1.88,1.88
limits,pthread,26,1,0.00,1.88,1.88
limits,pthread,26,1,0.00,1.88,1.89
limits,pthread,26,2,0.00,1.99,1.00
limits,pthread,26,2,0.00,1.99,1.00
limits,pthread,26,2,0.01,1.97,1.00
limits,pthread,26,3,0.00,2.05,0.69
limits,pthread,26,3,0.01,2.04,0.69
limits,pthread,26,3,0.00,2.05,0.69
limits,pthread,26,4,0.00,2.11,0.57
limits,pthread,26,4,0.00,2.09,0.57
limits,pthread,26,4,0.00,2.09,0.55
limits,pthread,26,5,0.00,2.07,0.64
limits,pthread,26,5,0.00,2.08,0.64
limits,pthread,26,5,0.00,2.08,0.64
limits,pthread,26,6,0.00,2.08,0.59
limits,pthread,26,6,0.00,2.10,0.57
limits,pthread,26,6,0.00,2.08,0.58
limits,pthread,26,7,0.00,2.08,0.59
limits,pthread,26,7,0.00,2.13,0.58
limits,pthread,26,7,0.00,2.08,0.58
limits,pthread,26,8,0.00,2.09,0.56
limits,pthread,26,8,0.00,2.09,0.56
limits,pthread,26,8,0.00,2.13,0.56
limits,tbb,26,1,0.00,1.90,1.90
limits,tbb,26,1,0.00,1.87,1.87
limits,tbb,26,1,0.00,1.87,1.87
limits,tbb,26,2,0.00,2.00,1.00
limits,tbb,26,2,0.01,1.98,1.00
limits,tbb,26,2,0.00,2.00,1.00
limits,tbb,26,3,0.00,2.05,0.69
limits,tbb,26,3,0.00,2.05,0.68
limits,tbb,26,3,0.00,2.04,0.69
limits,tbb,26,4,0.00,2.10,0.55
limits,tbb,26,4,0.00,2.13,0.54
limits,tbb,26,4,0.00,2.09,0.53
limits,tbb,26,5,0.00,2.10,0.53
limits,tbb,26,5,0.00,2.10,0.53
limits,tbb,26,5,0.00,2.10,0.53
limits,tbb,26,6,0.01,2.09,0.53
limits,tbb,26,6,0.04,2.08,0.53
limits,tbb,26,6,0.00,2.12,0.53
limits,tbb,26,7,0.02,2.09,0.53
limits,tbb,26,7,0.02,2.08,0.53
limits,tbb,26,7,0.01,2.09,0.53
limits,tbb,26,8,0.02,2.09,0.54
limits,tbb,26,8,0.03,2.10,0.54
limits,tbb,26,8,0.02,2.10,0.53
