EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.158759,0.001975,0.081228,
slow_a,0.661919,0.001999,0.335170,
slow_b,3.977796,0.002971,2.048546,
slow_c,33.754224,0.010831,16.984938,
slow_d,38.230525,34.318195,36.911934,
slow_e,4.593305,0.002307,2.326477,
slow_f,0.160269,0.000660,0.108870,

