thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,7871044,222050653,813720830,2206761553,
1,0,slow_a,7873981,2695813562,2537603047,6653009863,
1,0,slow_b,7879257,1190859441,3290424756,4613034141,
1,0,slow_c,7908056,1691040516,9939013008,5113012990,
1,0,slow_d,7923006,4690994722,26330481106,11613020233,
1,0,slow_e,502798463,690842702,8454331265,5113052689,
1,0,slow_f,7871933,222057805,812422328,2206786874,
2,1,fast,7876476,222054026,1081107398,2226769789,
2,1,slow_a,7878735,2695817879,2804100128,6673016041,
2,1,slow_b,15697844,1190836664,3549277085,4633055001,
2,1,slow_c,7893752,1690875901,10161848283,5133018933,
2,1,slow_d,7941686,4691027525,26620239714,11633066073,
2,1,slow_e,502756610,690850971,9114795387,5133058697,
2,1,slow_f,7874053,222065389,1082007115,2226816229,
2,0,fast,7881419,222056404,1082685250,2226767821,
2,0,slow_a,7884139,2695818214,2806111274,6673017916,
2,0,slow_b,131703834,1190946841,14103729883,4633056921,
2,0,slow_c,596828575,1691404440,93139762471,5133047869,
2,0,slow_d,620657879,5145428970,86928550632,14631442362,
2,0,slow_e,628122087,690871192,15061580561,5133059311,
2,0,slow_f,7884838,222065563,1077668905,2226812913,
