thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,41333,190779495,252591602,612983344,
1,0,slow_a,7879668,2695790446,2252054596,6653024654,
1,0,slow_b,7884853,1190359393,3079995305,4613048879,
1,0,slow_c,7902979,1690792778,12747117554,5113027928,
1,0,slow_d,7919087,4690793172,25296030001,11613033983,
1,0,slow_e,502613292,690536164,4971409285,5113066662,
1,0,slow_f,7873323,222046047,719816145,2206801726,
2,1,fast,42550,190781644,525943421,632991473,
2,1,slow_a,7884217,2695793312,4461236445,6673029357,
2,1,slow_b,15226803,1190741757,11792699413,4633071888,
2,1,slow_c,7924485,1690797155,26868892274,5133035819,
2,1,slow_d,8162492,5283671012,51981704152,15953257917,
2,1,slow_e,391765594,690724923,7221818966,5133071995,
2,1,slow_f,7890445,222052404,1268675397,2226827802,
2,0,fast,41841,190781261,526149505,632989616,
2,0,slow_a,7878274,2695793211,2533846734,6673028702,
2,0,slow_b,255691055,1190746774,23260150595,4633071661,
2,0,slow_c,626906600,1689503360,101953077935,5133055678,
2,0,slow_d,715922347,5145030506,97710463438,14827460264,
2,0,slow_e,699593543,689131503,9349488773,5133072562,
2,0,slow_f,7888324,222052415,1006594613,2226827832,
