EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=1 size(Mib)=3814.697
func,u,s,e
fast,0.154920,0.000000,0.155268,
slow_a,0.649524,0.000000,0.650610,
slow_b,0.855317,0.000978,0.857787,
slow_c,2.739875,0.000000,2.743569,
slow_d,7.424788,0.000997,7.435423,
slow_e,2.722504,0.000991,2.744933,
slow_f,0.153651,0.000997,0.155038,

